number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
116,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Mai,pdf,"studenti/docente direi che va più che bene, 
studente/studente stiamo ora iniziando a legare",2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Skype","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),NA,"Zoom
Skype",2020 MS1801 9415 A001  GR1,7,Piedi,"Calcio e calcetto
Sci",Istituto tecnico settore economico,2000,45,5,1,Rosso,Nessuno,160,180,187,Milan,Castani,Marroni,Maschio,90,"ascoltare la musica
cucinare
motori
tecnologia, pc, scienza",6,lince,risotto allo zafferano,"bel quiz, aggiungerei magari una domanda.
descriversi in tre parole?"
117,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,WhatsApp,Instagram,Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,5,Piedi,NA,Liceo Linguistico,2002,37,9,1,Rosso,Nessuno,167,178,161,NA,Castani,Marroni,Femmina,45,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cantare
guardare documentari, film, telefilm, serie tv, sport
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",1,koala,spaghetti alla carbonara,NA
118,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Mai,No,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,Netflix,"Zoom
Skype
FaceTime",2020 MS1801 9415 A001  GR1,6,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Linguistico,2001,37,6,1,Nero,Nessuno,163,179,165,Inter,Castani,Verdi,Femmina,49,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
cucinare
guardare documentari, film, telefilm, serie tv, sport
sport
turismo
volontariato (croce rossa, 118)",3,cavallo,peperonata,NA
119,2020 MS1801 9415 A001  GR1,Si vedrà...,Tablet,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sci",Liceo Classico,2001,38,2,3,Rosa,Nessuno,165,180,170,NA,Biondi,Verdi,Femmina,58,"camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
moda
shopping
storia dell’arte",5,gatto,pasta al sugo,NA
120,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","FaceTime
Altro","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Autobus,NA,Altro,2001,39,5,2,Nero,Cane,165,NA,165,NA,Castani,Marroni,NA,60,"ascoltare la musica
cinema
scrittura
volontariato (croce rossa, 118)",9,koala,pizza,NA
121,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"Skype
Google Duo
Altro","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,4,Bicicletta,Alpinismo,Liceo Linguistico,2001,39,3,3,Verde,Nessuno,177,185,170,StAmbroeusFC,Biondi,Verdi,Femmina,67,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
recitazione (stand up comedy)
scrittura
volontariato (croce rossa, 118)",11,delfino,gelato,"Trovo molto bello che abbia deciso di proporre questo quiz, credo denoti interesse e gentilezza da parte sua e non è affatto scontato (grazie)
Ho apprezzato che abbia chiesto di dire qual è il nostro sesso biologico e non sesso ""in generale""
Ho apprezzato le domande inaspettate e originali
Aggiungerei la domanda ""sei felice?""
Aggiungerei la domanda cosa vorresti fare da grande
Un saluto professore!"
122,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,sono soddisfatto dell'utilizzo del forum,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram
Altro",Lezioni frontali in Aula,"Amazon Prime video
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Auto personale,"Pallacanestro
Sci",Altro,2001,46,9,1,Rosso,Nessuno,165,182,185,Juventus,Castani,Marroni,Maschio,85,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport
motori
sport
storia dell’arte
turismo
videogiochi",9,lupo,pizza,animale preferito: procione
123,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Altro","You Tube
Twitter
Instagram",Video delle lezioni in Aula in diretta streaming,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Autobus,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Linguistico,2001,39,4,0,Viola,Gatto,155,178,163,NA,Castani,Marroni,Femmina,50,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cucinare
danza
studiare lingue orientali
suonare strumenti musicali
tecnologia, pc, scienza",2,koala,hamburger,NA
124,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Spesso,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Altro","You Tube
Instagram
Facebook
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,7,Auto personale,Altro,Istituto tecnico settore tecnologico,2001,39,7,1,Rosa,Nessuno,155,180,165,milan,Castani,Marroni,Femmina,54,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo",10,cane,McDonald,NA
125,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Talvolta,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Altro","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,1,Auto personale,Sci,Liceo Scientifico,2001,38,6,1,Bianco,"Gatto
Cane
Pesci",175,185,181,milan,Biondi,Azzurri,Femmina,60,"ascoltare la musica
fotografia
guardare documentari, film, telefilm, serie tv, sport
shopping
tecnologia, pc, scienza",6,cane,McDonald,NA
126,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","FaceTime
Altro","You Tube
Twitter
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,Altro,Liceo Linguistico,2001,40,4,0,Blu,Nessuno,170,185,176,juventus,Biondi,Verdi,Femmina,54,"ascoltare la musica
ballare
cantare
danza
fotografia
palestra
shopping
suonare strumenti musicali
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",1,cane,pizza,NA
127,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore tecnologico,2001,38,10,1,Rosso,Nessuno,170,175,160,napoli,Castani,Marroni,Femmina,59,"ascoltare la musica
shopping",9,cane,cioccolato,NA
128,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Talvolta,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp","Skype
FaceTime","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,39,3,1,Nero,Conigli,155,185,168,nessuna,Castani,Marroni,Femmina,52,"ascoltare la musica
dipingere, disegnare
fotografia",9,coniglio,tiramisù,NA
129,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,10,Auto personale,"Sci
Pallavolo/beach volley",Liceo Scientifico,2001,39,5,1,Giallo,Altro,165,180,165,juventus,Castani,Marroni,Femmina,60,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cinema
guardare documentari, film, telefilm, serie tv, sport
motori",12,scimmia,hamburger,NA
130,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Talvolta,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,Altro,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Infinity","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,7,Autobus,Equitazione,Liceo Classico,2001,37,2,0,Rosso,Gatto,165,180,160,milan,Castani,Verdi,Femmina,62,"ascoltare la musica
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo",8,cavallo,pasta al sugo,NA
131,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Spesso,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp","WhatsApp
Skype
Altro","Instagram
Facebook
Altro",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,1999,39,6,2,Blu,"Gatto
Cane
Roditori",180,185,172,Torino,Castani,Marroni,Femmina,63,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
palestra
sport
tecnologia, pc, scienza",5,lupo,McDonald,NA
132,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messanger
Telegram",Altro,"You Tube
Twitter
Instagram
Facebook
Altro",Video registrati in differita,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,9,Treno,NA,Liceo Linguistico,1999,38,4,1,Rosa,Gatto,165,175,163,NA,Rossi,Azzurri,Femmina,50,"letture particolari: manga, news di natura finanziaria
shopping
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
videogiochi",6,volpe,pollo al curry,NA
133,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Mai,Si,Mai,pdf,va bene così.,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime
Altro",Instagram,Lezioni frontali in Aula,Netflix,"Zoom
Skype",2020 MS1801 9415 A001  GR1,2,Piedi,Altro,Liceo Scientifico,2001,38,2,1,Verde,Gatto,169,175,163,nessuna,Biondi,Azzurri,Femmina,55,"ascoltare la musica
sport
suonare strumenti musicali",5,alpaca,pollo al curry,no
134,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,cercherei un modo di creare dei gruppi di studenti per svolgere gli esercizi piuttosto che intasare la casella mail oppure farei in modo di poter indirizzare alcune domande del forum a specifiche persone per esempio se uno studente ha problemi tecnici con il proprio test sarebbe utile poter scegliere di fare una domada direttamente al professore senza che arrivi una mail a tutti,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype","You Tube
Instagram",Video registrati in differita,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici
Altro",Liceo Scientifico,2001,36,2,2,Giallo,Nessuno,162,174,163,Juventus,Castani,Azzurri,Femmina,56,"ascoltare la musica
ballare
cinema
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
motori
sport
scrittura
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",3,pantera,salame,NA
135,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,FaceTime,"You Tube
Instagram",Video registrati in differita,Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Altro,2000,38.5,6,1,Giallo,Cane,166,177,169,milan,Castani,Marroni,Femmina,53,"cucinare
guardare documentari, film, telefilm, serie tv, sport
moda
motori
palestra
sport
shopping",4,cane,salmone,NA
136,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
FaceTime
Altro","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Liceo Scientifico,2001,39,6,0,Rosa,Nessuno,167,170,164,Inter,Castani,Marroni,Femmina,65,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
moda
palestra
shopping
suonare strumenti musicali
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",6,gatto,pasta al sugo,NA
137,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,No,Sempre,pdf,"Non le rimpiazzerei, sono utili agli studenti per magari trovare subito delle risposte",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Altro","You Tube
Instagram
Facebook",Video registrati in differita,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Auto personale,"Sport acquatici
Altro",Altro,2001,37,8,1,Azzurro,Nessuno,165,180,160,nessuna,Biondi,Verdi,Femmina,58,"letture particolari: manga, news di natura finanziaria",12,pinguino,sushi,NA
138,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram",Video registrati in differita,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,37,9,0,Bianco,Cane,160,178,166,Juventus,Castani,Verdi,Femmina,50,"ascoltare la musica
ballare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
sport
videogiochi",3,NA,avocado,Animale preferito: beluga
139,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Raramente,pdf,"credo che le interazioni docente-studente, siano già molto valide",2020 MS1801 9415 A001  GR1,e-mail,WhatsApp,Instagram,Lezioni frontali in Aula,Netflix,Zoom,2020 MS1801 9415 A001  GR1,9,Treno,Altro,Istituto tecnico settore economico,2001,37,2,0,Rosso,Cane,168,175,170,Juventus,Biondi,Verdi,Femmina,48,ascoltare la musica,3,cavallo,fritto misto,NA
140,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,NA,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime",Instagram,Video registrati in differita,"Netflix
Amazon Prime video","Skype
FaceTime",2020 MS1801 9415 A001  GR1,3,Auto personale,Altro,Altro,2001,36,6,1,Azzurro,Cane,150,175,170,NA,Castani,Marroni,Femmina,58,"ascoltare la musica
ballare
danza
palestra",3,cavallo,lasagne,NA
141,2020 MS1801 9415 A001  GR1,No,Tablet,Casa,Inutile,Mai,Si,Mai,pdf,"Non cambierei nulla, poichè il professore è sempre disponibile e risponde subito.",2020 MS1801 9415 A001  GR1,e-mail,Altro,NA,Video registrati in differita,NA,NA,2020 MS1801 9415 A001  GR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Raramente utile,NA,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Messsanger","You Tube
Instagram
Facebook",Video registrati in differita,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,6,Auto personale,Atletica leggera,Altro,2001,43,8,1,Verde,Gatto,170,170,180,Juventus,Castani,Marroni,Femmina,95,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
fotografia
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
sport
suonare strumenti musicali",8,leone,pollo al curry,NA
143,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,NA,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,1,Auto personale,NA,Liceo Scientifico,2001,40,2,1,Verde,Cane,170,185,175,NA,Biondi,Azzurri,Femmina,58,"arti orientali: yoga, wing chun
ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
motori
sport
scrittura",4,leone,carne alla griglia,NA
144,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,"Amazon Prime video
AppleTV+","Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Auto personale,Altro,Altro,1999,45,8,1,Verde,Cane,165,177,191,milan,Castani,Verdi,Maschio,76,"ascoltare la musica
giardinaggio, orto",9,delfino,parmigiana,NA
145,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Spesso,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Altro","WhatsApp
FaceTime
Altro","You Tube
Twitter
Instagram
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Treno,Pallacanestro,Istituto tecnico settore economico,2001,43,10,1,Blu,Nessuno,162,170,174,Milan,Neri,Marroni,Maschio,70,"ascoltare la musica
cinema
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
sport",6,quokka,pasta ai frutti di mare,NA
146,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
skype
whatsapp","WhatsApp
Skype","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Meet
Skype",2020 MS1801 9415 A001  GR1,8,Bicicletta,"Calcio e calcetto
Alpinismo
Ciclismo
Running",Liceo Scientifico,2001,43,4,1,Azzurro,Nessuno,173,177,183,torino,Neri,Azzurri,Maschio,72,"assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
motori
sport
tecnologia, pc, scienza
turismo
videogiochi",1,lupo,pizza,NA
147,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,NA,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,WhatsApp,Instagram,Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,38,10,1,Rosso,"Gatto
Cane",170,195,172,Milan,Castani,Verdi,Femmina,55,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cinema
moda
shopping
tecnologia, pc, scienza
turismo",6,scimmia,pasta al sugo,NA
148,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,6,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Classico,2001,38,6,0,Nero,"Gatto
Cane",160,173,167,Juventus,Castani,Marroni,Femmina,55,"ascoltare la musica
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
danza
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",9,gatto,cioccolato,NA
149,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
FaceTime","Instagram
Altro",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,7,Auto personale,NA,Liceo Linguistico,2001,42,8,2,Nero,Gatto,168,185,175,NA,Castani,Azzurri,Femmina,72,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cantare
cucinare
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali",3,lupo,pollo al curry,"non è il pollo ma il curry con verdure/legumi, sono vegetariana"
150,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",FaceTime,Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,8,Auto personale,NA,Liceo Classico,1999,37,3,1,Azzurro,Cane,160,180,158,Juventus,Castani,Verdi,Femmina,60,"ascoltare la musica
ballare
danza
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
shopping",6,cane,sushi,NA
151,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Raramente utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,3,Piedi,Running,Liceo Linguistico,1998,39,NA,>4,Verde,Nessuno,163,175,164,nessuna,Rossi,Marroni,Femmina,54,"cantare
dipingere, disegnare
letture particolari: manga, news di natura finanziaria
suonare strumenti musicali",10,cane,cheesecake,NA
152,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,3,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore tecnologico,1999,38,4,3,Viola,Nessuno,158,180,161,NA,Castani,Marroni,Femmina,58,"ballare
cinema
cucinare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",11,gatto,cinese,NA
153,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","Skype
FaceTime","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video
TimVision",Meet,2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici
Sci",Altro,1998,37,8,0,Rosso,Cane,NA,NA,NA,NA,Biondi,Verdi,Femmina,NA,"assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
fotografia
palestra
sport
turismo
videogiochi
volontariato (croce rossa, 118)",7,delfino,cioccolato,NA
154,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video
Chili
Infinity
AppleTV+","Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,7,Treno,Pallavolo/beach volley,Liceo Scientifico,2001,39,3,1,Azzurro,Nessuno,150,183,167,NA,Castani,Verdi,Femmina,57,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cantare
cinema
cucinare
danza
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",12,leone,pizza,NA
155,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,9,Piedi,Equitazione,Liceo Linguistico,1998,38,1,1,Blu,"Gatto
Cane",162,169,160,torino,Biondi,Marroni,Femmina,60,"camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport",3,cavallo,pizza,NA
156,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Raramente utile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
FaceTime","Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Auto personale,Pallavolo/beach volley,Liceo Scientifico,2001,38,2,1,Rosso,Nessuno,160,170,162,Juventus,Castani,Marroni,Femmina,67,"ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
shopping
storia dell’arte
suonare strumenti musicali",1,cane,cioccolato,NA
